"","Brand","Sort","ABV","Brewery","ABV2"
"701","IPA","IPA","7.9%","Brewery Strubbe",7.9
"702","Iris","spontane gisting, amber","6%","Brewery Cantillon",6
"703","Irma","fruitbier","6%","voor bierfirma Vacas",6
"704","Itters Bruin","tafelbier","1.3%","Brewery Sint-Jozef",1.3
"705","Jack’Ouille","blond","5.5%","Brasserie de Bouillon",5.5
"706","Jack-Op","gemengde gisting","5.5%","Brewery Boon",5.5
"707","Jaded Stillwater Artisanal","Belgo/American ale","10%","De Struise Brouwers bij Brewery Deca",10
"708","Jambe-de-bois","tripel","8%","Brewery De Ranke voor Brasserie de la Senne",8
"709","Jan Buuc","etiketbier","7.5%","Brewery Het Sas",7.5
"710","Jan De Lichte","witbier","7%","Brewery De Glazen Toren",7
"711","Jan van Gent","blond","5.5%","Brewery Liefmans",5.5
"712","Jan van Oudenaarde","blond","8%","Brewery Slaapmutske",8
"713","Jean Nicot","tripel, tabaksbier","8.5%","Brewery De Graal",8.5
"714","Jeanke","Blonde","","Brasserie St. Jean",NA
"715","Jessenhofke Bruin","high fermentation, biologisch","7%","De Proefbrouwerij voor Brewery Jessenhofke",7
"716","Jessenhofke Maya","high fermentation, biologisch","6%","De Proefbrouwerij voor Brewery Jessenhofke",6
"717","Jessenhofke Tripel","high fermentation, biologisch, tripel","8%","De Proefbrouwerij voor Brewery Jessenhofke",8
"718","Jezuwiet","high fermentation, tripel","8.5%","Brewery Boelens",8.5
"719","Johannes","streekbier","6.5%","Brewery De Graal voor bierfirma Johannes",6.5
"720","Joseph","high fermentation, blond, spelt","5.4%","Brasserie de Silenrieux",5.4
"721","Joseph Bio","high fermentation, blond, spelt","5.4%","Brasserie de Silenrieux",5.4
"722","Joup","high fermentation","7.5%","Brasserie Grain d'Orge",7.5
"723","Julius","high fermentation, bruin","8.7%","Brewery De Kluis (InBev)",8.7
"724","Judas","high fermentation, okerblond","8.5%","Alken-Maes (Heineken)",8.5
"725","Jules de Bananes","fruitbier, wit","4.9%","Brewery De Ryck",4.9
"726","Jules de Kriek","fruitbier, robijnrood","4.9%","Brewery De Ryck",4.9
"727","Jupiler","pils","5.2%","Brewery Piedbœuf",5.2
"728","Jupiler Blue","lage gisting, pils","3.3%","Brewery Piedbœuf (InBev)",3.3
"729","Jupiler NA","alcoholarm","0.5%","Brewery Piedbœuf (InBev)",0.5
"730","Jupiler New Tauro","lage gisting","6.2%","Inbev",6.2
"731","Jupiler Tauro","lage gisting","8.3%","Inbev",8.3
"732","Kalle","tripel","8%","Brewery Gulden Spoor",8
"733","Kameleon Amber","biologisch","6.5%","Brewery Den Hopperd",6.5
"734","Kameleon Donker","biologisch","6%","Brewery Den Hopperd",6
"735","Kameleon Ginseng","biologisch","6.5%","Brewery Den Hopperd",6.5
"736","Kamil","high fermentation","6.5%","De Proefbrouwerij voor bierfirma BVG",6.5
"737","Kameleon Tripel","biologisch, tripel","8.5%","Brewery Den Hopperd",8.5
"738","Kapel van Viven Blond","blond","6.8%","De Proefbrouwerij voor Beerdevelopment Viven",6.8
"739","Kapel van Viven Bruin","bruin","6.6%","De Proefbrouwerij voor Beerdevelopment Viven",6.6
"740","Kapittel Abt","bruin","10%","Brewery Van Eecke",10
"741","Kapittel Blond","blond","6.5%","Brewery Van Eecke",6.5
"742","Kapittel Dubbel","bruin","7.5%","Brewery Van Eecke",7.5
"743","Kapittel Pater","bruin","6%","Brewery Van Eecke",6
"744","Kapittel Prior","bruin","9%","Brewery Van Eecke",9
"745","Kapittel Tripel Abt","tripel","10%","Brewery Van Eecke",10
"746","Karlsquell","pils","4.6%","Brewery Martens",4.6
"747","Kastaar","blond","6%","Brewery De Block",6
"748","Kasteel Blond","blond, high fermentation","7%","Brewery Van Honsebrouck",7
"749","Kasteel Cuvée du Chateau","donker","11%","Brewery Van Honsebrouck",11
"750","Kasteel Donker","donker","11%","Brewery Van Honsebrouck",11
"751","Kasteel Rouge","kriek","8%","Brewery Van Honsebrouck",8
"752","Kasteel Tripel","tripel","11%","Brewery Van Honsebrouck",11
"753","Kasteelbier Blond","blond","11%","Brewery Van Honsebrouck",11
"754","Kasteelbier Bruin","bruin","11%","Brewery Van Honsebrouck",11
"755","Kasteelbier Ooidonk","etiketbier","11%","Brewery Van Honsebrouck",11
"756","Kastel","amber","7%","De Proefbrouwerij in opdracht van De Kastelse Biervereniging",7
"757","Kastels pompoenbier","tarwebier, seizoensgebonden, met pompoen","","De Proefbrouwerij in opdracht van De Kastelse Biervereniging",NA
"758","Katje Special","high fermentation, ale","6%","Brewery Het Sas",6
"759","Keikoppenbier","blond, biologisch","6.1%","Brewery De Plukker",6.1
"760","Keizer Karel Robijn Rood","robijnrood","8.5%","Brewery Haacht",8.5
"761","Keizer Karel Goud Blond","blond","8.5%","Brewery Haacht",8.5
"762","Keizersberg","Abbey Beer","9%","Brewery Van Steenberge",9
"763","Kempisch Vuur 3-Dubbel","bruin","7.5%","De Proefbrouwerij in opdracht van Brewery Pirlot",7.5
"764","Kempisch Vuur Tripel","tripel","7.5%","De Proefbrouwerij in opdracht van Brewery Pirlot",7.5
"765","Kerasus","donkerrood","5.5%","Brewery Alvinne",5.5
"766","Kerelsbier Donker","etiketbier","6.4%","Brewery Het Sas",6.4
"767","Kerelsbier Licht","etiketbier","6.4%","Brewery Het Sas",6.4
"768","Kerkomse Tripel","tripel","9%","Brewery Kerkom bij Brewery Sint-Jozef",9
"769","Kerstpater","high fermentation, kerstbier","9%","Brewery Van Den Bossche",9
"770","Kerstbie","donker, kerstbier","8%","Brewery De Bie",8
"771","KerstSmiske","donker, kerstbier","11%","Brewery Smisje",11
"772","Kerstvuur","kerstbier","8%","De Proefbrouwerij voor Brewery Pirlot",8
"773","Kessel 69","high fermentation","6.9%","Brewery De Vlier",6.9
"774","Kessel Blond","high fermentation","7.5%","Brewery De Vlier",7.5
"775","Keyte","blond, high fermentation","7.5%","Brewery Strubbe",7.5
"776","Keyte-Dobbel-Tripel","robijnrood, high fermentation","9.2%","Brewery Strubbe",9.2
"777","Kleveretien","high fermentation, winterbier","10%","De Scheldebrouwerij voor Brewery Het Nest",10
"778","Klingse Kalsei","high fermentation, streekbier","8%","Brewery Van Steenberge",8
"779","Kloeke Blonde","high fermentation, Belgische blonde ale","6%","De Struise Brouwers",6
"780","Klokke Roeland","donker","11.5%","Brewery Van Steenberge",11.5
"781","Klooster van Viven","bruin","6.6%","De Proefbrouwerij voor Beerdevelopment Viven",6.6
"782","Koantjesbier","high fermentation","7%","De Proefbrouwerij voor Bierfirma Vacas",7
"783","Koekelaring","high fermentation","6.5%","Brewery De Graal voor De Hoevebrouwers",6.5
"784","Koeketiene","tripel","8.5%","Brewery Maenhout",8.5
"785","Koerseklakske","high fermentation","5.5%","Brewery 't Gaverhopke",5.5
"786","Korsakoff","ongefilterd blond bier","6.5%","'t Hofbrouwerijke",6.5
"787","Kortrijk-d’Utsel","brutbier","8.5%","Brewery Kortrijk-d’Utsel",8.5
"788","Kriek Belgique","fruitbier","3.5%","Brasserie du Bocq",3.5
"789","Kriek Boon","lambiek","4.5%","Brewery Boon",4.5
"790","Kriek Cantillon 100% Lambic","lambiek","5.5%","Brewery Cantillon",5.5
"791","Kriek De Ranke","fruitbier","4.5%","Brewery De Ranke",4.5
"792","Kriek de Silenrieux","fruitbier","4.5%","Brasserie de Silenrieux",4.5
"793","Kriek Fantastiek","fruitbier, roodbruin","4.9%","Brewery De Ryck",4.9
"794","Kriek Girardin","lambiek","5%","Brewery Girardin",5
"795","Kriek Jacobins","lambiek","4.5%","Brewery Bockor",4.5
"796","Kriek Lindemans","lambiek","3.5%","Brewery Lindemans",3.5
"797","Kriek Mariage Parfait","lambiek","8%","Brewery Boon",8
"798","Kriekedebie","fruitbier","4.4%","Brewery De Bie",4.4
"799","Kriekenbier","fruitbier, lage gisting","4%","Brewery Sint-Jozef",4
"800","Kriekenbier","fruitbier","4.5%","Brewery Strubbe",4.5
"801","Kriek Max","fruitbier","3.2%","Brewery Bockor",3.2
"802","Kwaremont","blond, high fermentation","6.6%","Brewery Bavik",6.6
"803","Kwets","blond tarwebier","6.8%","Brewery De Graal voor Microbrouwerij Paeleman in opdracht van Kwets vzw",6.8
"804","Kwibus Blond","blond, high fermentation","6.4%","Brewery Danny",6.4
"805","Kwibus Donker","high fermentation","6.4%","Brewery Danny",6.4
"806","La Barbiot Ambrée","high fermentation","9.5%","Brasserie la Barbiot",9.5
"807","La Barbiot Blonde","high fermentation","8%","Brasserie la Barbiot",8
"808","La Binchoise Blonde","high fermentation, blond","6.2%","Brewery La Binchoise",6.2
"809","La Binchoise Brune","high fermentation","7.7%","Brewery La Binchoise",7.7
"810","La Binchoise Organic’ Brune","high fermentation, biologisch","7%","Brewery La Binchoise",7
"811","La Binchoise Organic’ Miel","high fermentation, biologisch, honingbier","8.5%","Brewery La Binchoise",8.5
"812","La Binchoise Organic’ Triple","high fermentation, biologisch, tripel","8.5%","Brewery La Binchoise",8.5
"813","La Binchoise Spéciale Noël","high fermentation, kerstbier","9%","Brewery La Binchoise",9
"814","La Binchoise Triple","high fermentation, tripel","8.5%","Brewery La Binchoise",8.5
"815","La Binchoise XO","high fermentation","12%","Brewery La Binchoise",12
"816","La Botteresse Ambrée","high fermentation","8.5%","Brasserie la Botteresse de Sur-les-bois",8.5
"817","La Botteresse de Noël","high fermentation, kerstbier","10.5%","Brasserie la Botteresse de Sur-les-bois",10.5
"818","La Botteresse Blonde","high fermentation","7.5%","Brasserie la Botteresse de Sur-les-bois",7.5
"819","La Botteresse Brune","high fermentation","9.5%","Brasserie la Botteresse de Sur-les-bois",9.5
"820","La Botteresse aux cerises","high fermentation, fruitbier","5.5%","Brasserie la Botteresse de Sur-les-bois",5.5
"821","La Botteresse Ambrée au miel","high fermentation, honingbier","8.5%","Brasserie la Botteresse de Sur-les-bois",8.5
"822","La Botteresse aux pommes","high fermentation, fruitbier","5.4%","Brasserie la Botteresse de Sur-les-bois",5.4
"823","La Blanche des Saisis","witbier","6.2%","Brasserie Ellezelloise",6.2
"824","La Bouillonnaise","bruin, high fermentation","7%","Brasserie de Bouillon",7
"825","La Chérie","fruitbier","5%","Brasserie Val de Sambre",5
"826","La Chèvenis","high fermentation","6%","Brasserie de Bouillon",6
"827","La Chouffe","blond, high fermentation","8%","Brewery d'Achouffe (Duvel-Moortgat)",8
"828","La Corne du Bois des Pendus Blonde","high fermentation, blond","5.9%","Brasserie d'Ebly",5.9
"829","La Corne du Bois des Pendus Triple","high fermentation, triple","7%","Brasserie d'Ebly",7
"830","La Cré Tonnerre","high fermentation, tripel","7%","Brasserie de Silly",7
"831","La Divine","high fermentation, amber","9.5%","Brasserie de Silly",9.5
"832","La Douce Vertus","high fermentation, ale","7%","Brasserie Millevertus",7
"833","La Fumette","high fermentation, Rauchbier","6.5%","Brasserie Millevertus",6.5
"834","La Grognarde","high fermentation","5.5%","Brasserie Sainte-Hélène",5.5
"835","La Guillotine","sterk blond","8.5%","Brewery Huyghe",8.5
"836","La Jamboise de Bister","bleek blond","6.5%","Brewery Lefebvre",6.5
"837","La Loubécoise","donker, high fermentation","8%","Brasserie d'Ecaussinnes",8
"838","La Mac Vertus","stout","4.8%","Brasserie Millevertus",4.8
"839","La Médiévale","amber, high fermentation","6%","Brasserie de Bouillon",6
"840","La Mère Vertus","tripel","7%","Brasserie Millevertus",7
"841","La Moneuse","saison, amber","8%","Brasserie de Blaugies",8
"842","La Moneuse Spéciale Noël","saison, bruin, high fermentation","8%","Brasserie de Blaugies",8
"843","La Moraipire","tripel","8.5%","Brasserie Millevertus",8.5
"844","La Namuroise","high fermentation","7%","Les Artisans Brasseurs",7
"845","La Noire Fontaine","high fermentation","8%","Brasserie de Bouillon",8
"846","La Penneffoise","fruitbier","8%","Brasserie d'Ecaussinnes",8
"847","La Pils des 3 Canaux","pils","4.5%","Authentique Brasserie",4.5
"848","La Poiluchette Blonde Cuvéé du Château","high fermentation","7.5%","Brewery Huyghe",7.5
"849","La Poiluchette Brune","high fermentation","7.5%","Brewery Huyghe",7.5
"850","La Poirette de Fontaine","high fermentation, fruibier","8.5%","Brasserie la Botteresse de Sur-les-bois",8.5
"851","La Prime","high fermentation, winterbier","8.5%","Brasserie Sainte-Hélène",8.5
"852","La Rulles Blonde","high fermentation","7%","Brasserie Artisanale de Rulles",7
"853","La Rulles Brune","high fermentation","6.5%","Brasserie Artisanale de Rulles",6.5
"854","La Rulles Cuvée Meilleurs Vœux","high fermentation, winterbier","7.3%","Brasserie Artisanale de Rulles",7.3
"855","La Rulles Estivale","high fermentation","5.2%","Brasserie Artisanale de Rulles",5.2
"856","La Rulles La Grande 10","high fermentation, Belgian strong pale ale","10%","Brasserie Artisanale de Rulles",10
"857","La Rulles Triple","high fermentation, tripel","8.4%","Brasserie Artisanale de Rulles",8.4
"858","La Safranaise","high fermentation, kruidenbier","7%","Brasserie Millevertus",7
"859","La Saison de Pipaix","","6%","Brasserie à Vapeur",6
"860","La Saison des Chasses Ambrée","saison","7%","Brasserie de Bouillon",7
"861","La Saison des Chasses Blonde","saison","6%","Brasserie de Bouillon",6
"862","La Sambresse Blonde","high fermentation","8%","Brewery Brootcoorens",8
"863","La Spéciale Fêtes","winterbier","8.5%","Brasserie de Bouillon",8.5
"864","La Trompeuse","high fermentation","6.9%","Brasserie Jean Tout Seul",6.9
"865","La Troufette Belle d'été","high fermentation","6%","Brasserie de Bastogne",6
"866","La Troufette Blonde","high fermentation","6%","Brasserie de Bastogne",6
"867","La Troufette Brune","high fermentation, winterbier","6.8%","Brasserie de Bastogne",6.8
"868","La Troufette Givrée","high fermentation","8%","Brasserie de Bastogne",8
"869","La Troufette Rousse","high fermentation","7.8%","Brasserie de Bastogne",7.8
"870","La Vauban","Abbey Beer","6%","Brasserie de Bouillon",6
"871","La Vapeur en Folie","","8%","Brasserie à Vapeur",8
"872","La Vapeur Légère","","5%","Brasserie à Vapeur",5
"873","La Waterlootoise","tripel","9%","Brewery Van Steenberge",9
"874","Lam Gods","bruin dubbel","6.8%","Brewery Van Steenberge voor Brewery Paeleman",6.8
"875","L’Amarante","high fermentation, kruidenbier","8%","Brasserie Millevertus",8
"876","Lambinus","high fermentation, honingbier","8%","De Proefbrouwerij voor bierfirma Lesage",8
"877","Lamme Goedzak","high fermentation","7%","De Scheldebrouwerij",7
"878","Lamoral Degmont","high fermentation, amberblond","8%","Brewery Van Den Bossche",8
"879","Le Pavé de l'Ours","high fermentation, speciale belge","7.5%","Brasserie de Silenrieux",7.5
"880","Leeuw Pilsener","pilsener","5%","Brewery Haacht",5
"881","Leeuwse Witte","witbier","5%","Affligem Brewery (Brewery De Smedt)",5
"882","Leffe Blond","blond, Abbey Beer","6.6%","AB InBev",6.6
"883","Leffe Bruin","bruin, Abbey Beer","6.5%","AB InBev",6.5
"884","Leffe Kerst","kerstbier, Abbey Beer","6.5%","AB InBev",6.5
"885","Leffe Lente","Abbey Beer","6.5%","AB InBev",6.5
"886","Leffe Radieuse","Abbey Beer","8.2%","AB InBev",8.2
"887","Leffe Royale","blond, Abbey Beer","7.5%","AB InBev",7.5
"888","Leffe Ruby","fruitbier, Abbey Beer","6.5%","AB InBev",6.5
"889","Leffe Tripel","tripel, Abbey Beer","8.4%","AB InBev",8.4
"890","Leffe Vieille Cuvée","Amber","8.2%","AB InBev",8.2
"891","Leffe 9°","high fermentation","9%","AB InBev",9
"892","Leireken Boekweit Blond","amber, high fermentation, boekweit, biologisch","6%","Brewery Strubbe voor Guldenboot nv",6
"893","Leireken Boekweit Bruin","bruin, high fermentation, boekweit, biologisch","6%","Brewery Strubbe voor Guldenboot nv",6
"894","Leireken Lager Bio","pils, biologisch","5.2%","Brewery Strubbe voor Guldenboot nv",5.2
"895","Leireken Wilde Vruchten","fruitbier, high fermentation, biologisch","5.2%","Brewery Strubbe voor Guldenboot nv",5.2
"896","Leireken Witte Spelt","blond, high fermentation, spelt","5%","Brewery Strubbe voor Guldenboot nv",5
"897","L'Enfant Terrible","high fermentation, oak aged","7%","Brewery De Dochter van de Korenaar",7
"898","Lesage Blond","high fermentation, tripel","7%","De Proefbrouwerij voor bierfirma Lesage",7
"899","Lesage Dubbel","high fermentation","7.5%","De Proefbrouwerij voor bierfirma Lesage",7.5
"900","Leute Bokbier","roodbruin, high fermentation","7.5%","Brewery Van Steenberge",7.5
"901","Li Berwette","amber, high fermentation","8%","Brasserie Saint-Monon voor Confrérie du Busson",8
"902","Li Berwette di Noyè","donker kerstbier","8.5%","Brasserie Saint-Monon voor Confrérie du Busson",8.5
"903","Liefmans Cuvée-Brut","fruitbier","6%","Brewery Liefmans",6
"904","Liefmans Frambozenbier","fruitbier","5.4%","Brewery Liefmans",5.4
"905","Liefmans Fruitesse Rood","fruitbier","4.2%","Brewery Liefmans",4.2
"906","Liefmans Goudenband","bruin","8%","Brewery Liefmans",8
"907","Liefmans Oud Bruin","oud bruin","5%","Brewery Liefmans",5
"908","Liene","amber, tripel","7%","'t Hofbrouwerijke in opdracht van Brewery Het Nest",7
"909","Liers Kerstbier","amber, kerstbier","6%","Brewery Strubbe voor stad Lier",6
"910","Lily Blue","high fermentation","7.5%","Brasserie Sainte-Hélène",7.5
"911","Limburgse Witte","high fermentation","5%","Brewery Sint-Jozef",5
"912","Limerick","blond","8%","De Proefbrouwerij voor bierfirma Bas-bieren",8
"913","Lindemans Apple","lambiek","3.5%","Brewery Lindemans",3.5
"914","Lindemans Cassis","Fruitbier","3.5%","Brewery Lindemans",3.5
"915","Lindemans Framboise","lambiek","2.5%","Brewery Lindemans",2.5
"916","Lindemans Kriek","kriek","4%","Brewery Lindemans",4
"917","Lindemans Pêcheresse","fruitbier","2.5%","Brewery Lindemans",2.5
"918","Liter van Pallieter","tripel","8%","Microbrouwerij Achilles",8
"919","Living Tripel","tripel","9%","De Proefbrouwerij",9
"920","Livinus","blond, high fermentation","10%","Brewery Van den Bossche",10
"921","Livinus Blonde","tripel","10%","Brewery Van Eecke",10
"922","Livinus Brune","donker","9%","Brewery Van Eecke",9
"923","Lokernaere","etiketbier","5.5%","Brewery Het Sas",5.5
"924","Loterbol 6°","high fermentation","6%","Brewery Loterbol",6
"925","Loterbol Blond","high fermentation","8%","Brewery Loterbol",8
"926","Loterbol Bruin","high fermentation","8%","Brewery Loterbol",8
"927","Lou Pepe","geuze","5%","Brasserie Cantillon",5
"928","Louwaege Dubbel Blond","tafelbier","1.4%","Brewery Louwaege",1.4
"929","Louwaege Faro","tafelbier","1.4%","Brewery Louwaege",1.4
"930","Louwaege's Kriek","kriek","4.3%","Breweryen Alken-Maes",4.3
"931","Louwaege Stout","stout","4.8%","Brewery Louwaege",4.8
"932","Lozen Boer","high fermentation, quadrupel","10%","De Proefbrouwerij voor de familie Neyt",10
"933","Lucifer","blond, high fermentation","8.4%","Brewery Het Anker (vroeger in Brewery Riva en Brewery Liefmans)",8.4
"934","Lupulus Blonde","high fermentation","8.5%","Brasserie les 3 Fourquets",8.5
"935","Lupulus Brune","tripel","8.5%","Brasserie les 3 Fourquets",8.5
"936","Lustem","tarwebier","7%","‘t Hofbrouwerijke voor De Verhuisbrouwerij",7
"937","Ma Mère Spéciale","donkerblond","6%","Brewery De Leite",6
"938","Maerlant","tripel","9%","Brewery Van Steenberge",9
"939","Maes","pils","5.2%","Alken-Maes",5.2
"940","Maes Nature","tafelbier","1.5%","Alken-Maes (Heineken)",1.5
"941","Mageleno","blond","7.5%","Huisbrouwerij Sint Canarus",7.5
"942","Malheur 6","goudblond","6%","Brewery De Landtsheer",6
"943","Malheur 8","blond","8%","Brewery De Landtsheer",8
"944","Malheur 10","blond","10%","Brewery De Landtsheer",10
"945","Malheur 12","roodbruin","12%","Brewery De Landtsheer",12
"946","Malheur Bière Brut","blond","11%","Brewery De Landtsheer",11
"947","Malheur Dark Brut","donkerbruin","12%","Brewery De Landtsheer",12
"948","Malheur Cuvée Royale","blond","9%","Brewery De Landtsheer",9
"949","Maltosa","bruin, tafelbier","1.2%","Brewery Haacht",1.2
"950","Mamouche","lambiek","5%","Brewery Cantillon",5
"951","Maneblusser","blond","6%","Brewery Het Anker",6
"952","Manneke Pils","pils","5.2%","Brewery Lefebvre",5.2
"953","Mano Negra","imperial stout","10%","Brewery Alvinne",10
"954","Manten","high fermentation","6%","Brewery Gulden Spoor",6
"955","Marckloff","high fermentation","6.5%","Brasserie La Ferme au Chêne",6.5
"956","Maredsous blond","blond","6%","Brewery Duvel Moortgat",6
"957","Maredsous bruin","bruin","8%","Brewery Duvel Moortgat",8
"958","Maredsous tripel","tripel","10%","Brewery Duvel Moortgat",10
"959","Margriet","etiketbier","6.5%","Brewery Het Anker",6.5
"960","Martens Pils","pils","5%","Brewery Martens (Bocholt)",5
"961","Martin’s Blond","high fermentation","6%","Group John Martin",6
"962","Martin’s Pale Ale","high fermentation","5.5%","Group John Martin",5.5
"963","Mater Witbier","tarwebier","5%","Brewery Roman",5
"964","Mc Chouffe","donker","8.0%","Brasserie d'Achouffe (Duvel-Moortgat)",8
"965","Mc Thals","blond, high fermentation","9.5%","Brewery DijkWaert",9.5
"966","Melchior","amber","11%","Brewery Alvinne",11
"967","Melchior Oak Aged","oak aged","11%","Brewery Alvinne",11
"968","Melse God","blond","6.5%","Brewery Huyghe",6.5
"969","Merck toch hoe sterck","gerstewijn","9%","De Scheldebrouwerij",9
"970","Métisse Saison","saison","5.7%","De Lion à Plume bij Brasserie Sainte-Hélène",5.7
"971","Meuuh!","witbier","5.5%","Brasserie Saint-Monon voor Confrérie du Busson",5.5
"972","Mistinguett","high fermentation","6.5%","Brasserie Sainte-Hélène",6.5
"973","Modeste Bruin","bruin, biologisch","7.8%","Brewery Strubbe voor BioFresh",7.8
"974","Modeste Tripel","tripel, biologisch","8.4%","Brewery Strubbe voor BioFresh",8.4
