"","Brand","Sort","ABV","Brewery","ABV2"
"1222","Saison 1900","amber, saison","5.2%","Brewery Lefebvre",5.2
"1223","Saison 2000","saison","6.5%","Brasserie des Légendes",6.5
"1224","Saison Cazeau","saison","5%","Brasserie de Cazeau",5
"1225","Saison de Dottignies","saison","5.5%","Brewery De Ranke",5.5
"1226","Saison de la Senne","saison","4.3%","Brewery De Ranke voor Brasserie de la Senne",4.3
"1227","Saison de Mai","saison","8.3%","Brasserie Saint-Monon",8.3
"1228","Saison de Pipaix","saison","6%","Brasserie à Vapeur",6
"1229","Saison d'Epeautre","blond, spelt","6%","Brasserie de Blaugies",6
"1230","Saison d'Erpe-Mere","saison","6.9%","Brewery De Glazen Toren",6.9
"1231","Saison de Silly","saison, amber","5%","Brasserie de Silly",5
"1232","Saison Dupont","saison","6.5%","Brewery Dupont",6.5
"1233","Saison Dupont Bio","saison, biologisch","5.5%","Brewery Dupont",5.5
"1234","Saison Dupont Cuvée Dry Hopping","saison","6.5%","Brewery Dupont",6.5
"1235","Saison Regal","saison, amber","5.5%","Brasserie du Bocq",5.5
"1236","Saison St-Feuillien","saison, amber","6.5%","Brasserie Saint-Feuillien",6.5
"1237","Saison Voisin","saison, amber","5%","Brasserie des Légendes",5
"1238","Santa Bee","bruin kerstbier","8.5%","Brewery Boelens",8.5
"1239","Sara Blond","blond, high fermentation, boekweit","6%","Brasserie de Silenrieux",6
"1240","Sara Bruin","bruin, high fermentation, boekweit","6%","Brasserie de Silenrieux",6
"1241","Sas Brune","high fermentation","5.3%","Brewery Het Sas",5.3
"1242","Sas Export","export pils","5%","Brewery Het Sas",5
"1243","Sas Pils","pils","5%","Brewery Het Sas",5
"1244","Sasbräu","Dortmunder","6.3%","Brewery Het Sas",6.3
"1245","Satan Gold","blond, high fermentation","8%","Brewery De Block",8
"1246","Satan Red","Vlaams bruin","8%","Brewery De Block",8
"1247","Saxo","high fermentation","8%","Brasserie Caracole",8
"1248","Schaarbeekse Oude Kriek 3 Fonteinen","fruitbier, lambiek","5%","Geuzestekerij 3 Fonteinen",5
"1249","Scheldepils","pils","5%","Brewery Huyghe voor de De Scheldebrouwerij",5
"1250","Schoenlappertje","zwarte-bessenbier","5%","De Scheldebrouwerij",5
"1251","Schultenbräu","pils","4.9%","Brewery Martens voor Aldi",4.9
"1252","Schuppenboer","tripel","8.5%","De Scheldebrouwerij voor Brewery Het Nest",8.5
"1253","Scotch C.T.S.","scotch","7.2%","Inbev",7.2
"1254","Scotch Silly","high fermentation, scotch","7.8%","Brasserie de Silly",7.8
"1255","Seefbier","high fermentation","6.5%","Antwerpse Brouw Compagnie",6.5
"1256","Serafijn Blond","blond, high fermentation","6.2%","De Proefbrouwerij voor Microbrouwerij Achilles",6.2
"1257","Serafijn Donker","bruin, high fermentation","8%","De Proefbrouwerij voor Microbrouwerij Achilles",8
"1258","Serafijn Grand Cru","amber, high fermentation","9%","De Proefbrouwerij voor Microbrouwerij Achilles",9
"1259","Serafijn Tripel","tripel","8%","De Proefbrouwerij voor Microbrouwerij Achilles",8
"1260","Serafijn Kerstlicht","amber, kerstbier","7%","De Proefbrouwerij voor Microbrouwerij Achilles",7
"1261","Sernia Brune","scotch, etiketbier","7.2%","Inbev",7.2
"1262","Sezoens Blond","high fermentation, blond","6%","Brewery Martens (Bocholt)",6
"1263","Sezoens Quattro","high fermentation, amber","8%","Brewery Martens (Bocholt)",8
"1264","Shark Pants","Double IPA","9%","De Struise Brouwers bij Brewery Deca",9
"1265","Silly Pils","pils","5%","Brasserie de Silly",5
"1266","Silly Pils Bio","pils, biologisch","5%","Brasserie de Silly",5
"1267","Sinpalsken Blond","high fermentation","8.5%","Brewery De Cock bij Brewery Van Steenberge",8.5
"1268","Sinpalsken Donker","high fermentation","8.5%","Brewery De Cock bij Brewery Van Steenberge",8.5
"1269","Sint-Adriaansbier Blond","Abbey Beer","6.5%","Brewery Van Steenberge",6.5
"1270","Sint-Adriaansbier Bruin","Abbey Beer","","Brewery Van Steenberge",NA
"1271","Sint Canarus Tripel","tripel","7.5%","Huisbrouwerij Sint Canarus bij De Proefbrouwerij",7.5
"1272","Sint-Gummarus Dubbel","","7%","Brewery Sint-Jozef",7
"1273","Sint-Gummarus Tripel","high fermentation, tripel","8%","Brewery Sint-Jozef",8
"1274","Sint-Idesbald","high fermentation","6.5%","Brewery Huyghe",6.5
"1275","Slaapmutske Blond","high fermentation, blond","6.4%","De Proefbrouwerij voor Brewery Slaapmutske",6.4
"1276","Slaapmutske Bruin","high fermentation, bruin","6%","De Proefbrouwerij voor Brewery Slaapmutske",6
"1277","Slaapmutske Bio Tripel","biologisch, tripel, goudblond","8%","De Proefbrouwerij voor Brewery Slaapmutske",8
"1278","Slaapmutske Hop Collection ft. Kent Goldings","high fermentation, single hop","10%","De Proefbrouwerij voor Brewery Slaapmutske",10
"1279","Slaapmutske Tripel","biologisch, tripel, goudblond","8.1%","De Proefbrouwerij voor Brewery Slaapmutske",8.1
"1280","Slaapmutske Christmas","high fermentation, kerstbier","7.4%","De Proefbrouwerij voor Brewery Slaapmutske",7.4
"1281","Slaapmutske Dry Hopped Lager","lage gisting, Dortmunder","5.3%","De Proefbrouwerij voor Brewery Slaapmutske",5.3
"1282","Slaefke","tripel","7.5%","Huisbrouwerij Sint Canarus voor De Verhuisbrouwerij",7.5
"1283","Slag Lager","pils","5%","Brewery Slaghmuylder",5
"1284","Slaghmuylder's Kerstbier","lage gisting, blond","5.2%","Brewery Slaghmuylder",5.2
"1285","Slaghmuylder's Paasbier","lage gisting, blond","5.2%","Brewery Slaghmuylder",5.2
"1286","Sloeber","high fermentation","7.5%","Brewery Roman",7.5
"1287","Smisje Kerst","donker amber","11%","Brewery Smisje",11
"1288","Smiske","blond","7%","Brewery Smisje",7
